Partner,Github Org,Deploy Tool,Additional Deployed
Columbia University,cul,capistrano,
DuraSpace,duraspace,?,
Stanford University (f),sul-dlss,capistrano,
University of Hull (f),uohull,capistrano,
University of Virginia (f),uvalib,capistrano,
MediaShelf (now wound down),mediashelf,capistrano,
University of Notre Dame,ndlib,capistrano,
Northwestern University,nulib,capistrano,"avalon,donut"
Columbia University,cul,capistrano,
Penn State University,psu-stewardship,capistrano,
Penn State University,psu-libraries,capistrano,
Indiana University,IUBLibTech,?,
London School of Economics and Political Science,lse-dl,?,
Rock and Roll Hall of Fame and Museum,awead,capistrano,
Royal Library of Denmark,Det-Kongelige-Bibliotek,capistrano,
Data Curation Experts,curationexperts,capistrano,
WGBH,wgbh,capistrano,
Boston Public Library,boston-library,?,
Duke University,duke-libraries,?,
Yale University,yalelibrary,?,
Virginia Tech,VTUL,?,
University of Cincinnati,uclibs,?,
Princeton University Library,pulibrary,capistrano,
Cornell University,cul-it,capistrano,
Oregon State University,osulp,capistrano,
University of Oregon,uoregon-libraries,?,
Case Western Reserve University,KelvinSmithLibrary,capistrano,
Tufts University,TuftsUniversity,capistrano,
Duoc UC,bibliotecasduoc,?,
University of Alberta,ualbertalib,capistrano,
Digital Public Library of America (DPLA),dpla,?,
University of Michigan,mlibrary,capistrano,
University of California San Diego,ucsdlib,capistrano,
University of York,digital-york,?,
Lafayette College,LafayetteCollegeLibraries,capistrano,
Washington University in St. Louis (WUSTL),wulib-wustl-edu,capistrano,
The Digital Repository of Ireland,Digital-Repository-of-Ireland,?,
University of California Santa Barbara,ucsblibrary,capistrano,
University of Houston Libraries,uhlibraries-digital,?,
Emory University,emory-libraries,capistrano,
Joint Application,avalonmediasystem,capistrano,
Joint Application,OregonDigital,capistrano,
Notch8,notch8,capistrano,
UbiquityPress,ubiquitypress,?,
